BFO:0000003	occurrent	PATO:0000057	occurrence
ENVO:00002237	chernozem	http://aims.fao.org/aos/agrovoc/c_1533	chernozems
ENVO:00002240	kastanozem	http://aims.fao.org/aos/agrovoc/c_4079	kastanozems
ENVO:00002241	leptosol	http://aims.fao.org/aos/agrovoc/c_7425	stony soils
ENVO:00002243	histosol	http://aims.fao.org/aos/agrovoc/c_3636	histosols
ENVO:00002244	gleysol	http://aims.fao.org/aos/agrovoc/c_3276	gleysols
ENVO:00002246	ferralsol	http://aims.fao.org/aos/agrovoc/c_2858	ferralsols
ENVO:00002247	nitisol	http://aims.fao.org/aos/agrovoc/c_5185	nitosols
ENVO:00002248	luvisol	http://aims.fao.org/aos/agrovoc/c_4470	luvisols
ENVO:00002249	phaeozem	http://aims.fao.org/aos/agrovoc/c_5755	phaeozems
ENVO:00002251	planosol	http://aims.fao.org/aos/agrovoc/c_5953	planosols
ENVO:00002252	solonchak	http://aims.fao.org/aos/agrovoc/c_7231	solonchaks
ENVO:00002254	vertisol	http://aims.fao.org/aos/agrovoc/c_8199	vertisols
ENVO:00002255	solonetz	http://aims.fao.org/aos/agrovoc/c_7232	solonetz
ENVO:00002256	regosol	http://aims.fao.org/aos/agrovoc/c_6492	regosols
ENVO:00002257	podzol	http://aims.fao.org/aos/agrovoc/c_6044	podzols
ENVO:00002259	agricultural soil	http://aims.fao.org/aos/agrovoc/c_33934	agricultural soils
ENVO:00002260	dune soil	http://aims.fao.org/aos/agrovoc/c_2409	dune soils
ENVO:00002261	forest soil	http://aims.fao.org/aos/agrovoc/c_3051	forest soils
